"POLY_ID","GG"
243001,"2"
576003,"2"
249006,"11"
576004,"2"
242024,"2"
574019,"2"
243004,"2"
574015,"2"
574018,"2"
242022,"2"
251006,"2"
251008,"2"
250004,"16"
242021,"2"
251003,"11"
251005,"2"
574016,"2"
242023,"2"
263007,"2"
251002,"11"
263008,"2"
574017,"2"
251007,"16"
576005,"2"
242025,"2"
576006,"2"
263009,"2"
242026,"2"
242027,"2"
253001,"2"
576007,"2"
253002,"2"
576008,"2"
254001,"16"
251011,"16"
251013,"16"
251004,"16"
251012,"16"
254002,"16"
242028,"2"
251009,"16"
251010,"16"
250002,"16"
242029,"2"
243005,"2"
253003,"16"
263023,"2"
254003,"16"
577001,"4"
254004,"11"
244061,"16"
244029,"16"
253005,"16"
244067,"16"
576009,"2"
576010,"2"
244048,"16"
244052,"16"
244055,"16"
244007,"16"
244058,"16"
244039,"16"
578001,"2"
576011,"2"
578002,"2"
244056,"16"
244046,"2"
253006,"16"
253004,"16"
576012,"2"
331005,"2"
244047,"16"
244040,"16"
263026,"2"
577002,"24"
578003,"2"
244050,"16"
331016,"4"
244060,"16"
244064,"16"
244041,"16"
244053,"16"
253007,"16"
244043,"16"
331021,"4"
244066,"16"
244065,"16"
586001,"16"
244062,"16"
244054,"16"
245002,"16"
586002,"16"
579001,"4"
579002,"4"
244063,"16"
586006,"16"
245001,"16"
586004,"16"
586007,"16"
245004,"16"
244059,"16"
338004,"4"
580001,"16"
587003,"16"
587001,"16"
245003,"16"
587002,"16"
586005,"16"
9607001,"16"
579003,"4"
580002,"16"
586003,"16"
587004,"16"
580003,"16"
245005,"16"
587006,"16"
581002,"16"
245006,"16"
587005,"16"
244068,"16"
607003,"16"
9607003,"16"
9607002,"16"
579004,"2"
605001,"16"
586014,"16"
606001,"16"
606002,"16"
586010,"16"
579005,"4"
586012,"16"
586009,"16"
581004,"16"
586015,"16"
586008,"16"
601001,"16"
606003,"16"
582002,"16"
605002,"16"
601002,"16"
244069,"16"
586016,"16"
632001,"4"
606004,"16"
602001,"16"
244070,"16"
605004,"16"
633001,"4"
601003,"16"
586013,"16"
588003,"16"
586011,"16"
607001,"16"
9607006,"16"
579006,"4"
9607005,"16"
582004,"16"
9607004,"16"
632002,"4"
607004,"16"
583001,"16"
605005,"16"
606005,"16"
632003,"16"
588001,"16"
588002,"16"
607002,"16"
583003,"16"
582007,"16"
633003,"4"
589001,"16"
